Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,BWH,BWD,BWA,IWH,IWD,IWA,,,
E0,30-03-2019,Leicester,Bournemouth,2,0,H,1,0,H,L Mason,18,8,4,2,6,12,6,1,0,2,0,0,1.8,3.75,4.33,1.9,3.5,4.1,,,
E0,30-03-2019,Man United,Watford,2,1,H,1,0,H,S Attwell,8,20,5,8,14,9,3,5,1,2,0,0,1.42,4.75,7.5,1.4,4.6,8.3,,,
E0,30-03-2019,West Ham,Everton,0,2,A,0,2,A,P Tierney,3,17,1,9,7,14,4,9,1,1,0,0,2.55,3.3,2.8,2.5,3.4,2.8,,,
E0,31-03-2019,Cardiff,Chelsea,1,2,A,0,0,D,C Pawson,8,21,3,3,8,14,2,7,2,3,0,0,7.5,4.33,1.45,8.3,4.6,1.4,,,
E0,31-03-2019,Liverpool,Tottenham,2,1,H,1,0,H,M Atkinson,14,11,3,2,5,8,10,3,0,1,0,0,1.6,4.1,5.5,1.6,4.15,5.4,,,
E0,01-04-2019,Arsenal,Newcastle,2,0,H,1,0,H,A Taylor,7,3,4,1,11,10,6,2,2,0,0,0,1.36,5,8.5,1.35,5.3,8,,,
E0,02-04-2019,Watford,Fulham,4,1,H,1,1,D,R East,15,17,7,7,12,5,6,4,3,2,0,0,1.72,3.9,4.75,1.73,3.9,4.55,,,
E0,02-04-2019,Wolves,Man United,2,1,H,1,1,D,M Dean,9,18,2,4,5,11,3,5,1,2,0,1,4,3.6,1.91,3.7,3.5,2,,,
E0,03-04-2019,Chelsea,Brighton,3,0,H,1,0,H,G Scott,17,3,4,1,5,9,7,1,0,0,0,0,1.26,5.75,11.5,1.25,6.1,11,,,
E0,03-04-2019,Man City,Cardiff,2,0,H,2,0,H,J Moss,27,4,11,1,3,17,7,4,0,3,0,0,1.06,13,36,1.07,12,26,,,
E0,03-04-2019,Tottenham,Crystal Palace,2,0,H,0,0,D,A Marriner,26,5,10,1,8,5,8,2,1,0,0,0,1.42,4.75,7.25,1.47,4.3,7,,,
E0,05-04-2019,Southampton,Liverpool,1,3,A,1,1,D,P Tierney,11,17,1,5,8,7,7,5,2,4,0,0,8.5,4.75,1.4,7,4.5,1.45,,,
E0,06-04-2019,Bournemouth,Burnley,1,3,A,1,2,A,M Atkinson,10,11,2,3,12,16,3,6,2,3,0,0,2.1,3.5,3.5,2.05,3.5,3.6,,,
E0,06-04-2019,Huddersfield,Leicester,1,4,A,0,1,A,D Coote,10,18,4,9,13,11,8,5,3,0,0,0,5,3.8,1.7,5.5,3.9,1.63,,,
E0,06-04-2019,Newcastle,Crystal Palace,0,1,A,0,0,D,S Attwell,18,3,5,1,12,13,9,4,1,2,0,0,2.5,3.2,3,2.5,3.15,2.95,,,
E0,07-04-2019,Everton,Arsenal,1,0,H,1,0,H,K Friend,23,7,6,2,8,9,9,6,1,4,0,0,3.1,3.6,2.2,2.95,3.55,2.3,,,
E0,08-04-2019,Chelsea,West Ham,2,0,H,1,0,H,C Kavanagh,16,9,7,2,8,7,7,4,2,1,0,0,1.34,5.25,9,1.4,4.8,7.5,,,
E0,12-04-2019,Leicester,Newcastle,0,1,A,0,1,A,C Kavanagh,12,11,5,5,6,10,2,3,2,3,0,0,1.65,3.9,5.5,1.65,4,5.1,,,
E0,13-04-2019,Brighton,Bournemouth,0,5,A,0,1,A,K Friend,8,14,1,7,10,6,4,1,2,4,1,0,2.3,3.2,3.3,2.25,3.3,3.3,,,
E0,13-04-2019,Burnley,Cardiff,2,0,H,1,0,H,M Dean,14,14,7,2,7,10,8,4,2,3,0,0,1.91,3.4,4.25,1.9,3.5,4.1,,,
E0,13-04-2019,Fulham,Everton,2,0,H,0,0,D,L Probert,12,8,5,1,8,10,7,3,2,1,0,0,4.4,4,1.75,4.55,3.9,1.73,,,
E0,13-04-2019,Man United,West Ham,2,1,H,1,0,H,G Scott,14,18,4,4,14,5,3,11,1,1,0,0,1.42,4.75,7.5,1.4,5,7.2,,,
E0,13-04-2019,Southampton,Wolves,3,1,H,2,1,H,J Moss,13,17,6,2,13,8,4,9,1,3,0,0,2.6,3.1,2.9,2.55,3.1,2.95,,,
E0,13-04-2019,Tottenham,Huddersfield,4,0,H,2,0,H,L Mason,22,7,5,1,10,12,4,2,2,2,0,0,1.2,7,14,1.2,7,13,,,
E0,14-04-2019,Crystal Palace,Man City,1,3,A,0,1,A,M Atkinson,7,20,3,6,5,11,2,9,0,0,0,0,10,5.5,1.3,9.1,5.3,1.32,,,
E0,14-04-2019,Liverpool,Chelsea,2,0,H,0,0,D,M Oliver,15,6,7,3,5,9,9,2,0,1,0,0,1.67,4,5,1.65,4,5,,,
E0,15-04-2019,Watford,Arsenal,0,1,A,0,1,A,C Pawson,11,19,3,6,12,8,6,4,2,0,1,0,3.1,3.6,2.2,3.1,3.7,2.15,,,
E0,16-04-2019,Brighton,Cardiff,0,2,A,0,1,A,A Marriner,14,10,2,3,11,13,5,4,0,1,0,0,2,3.2,4.33,2,3.3,4,,,
E0,20-04-2019,Bournemouth,Fulham,0,1,A,0,0,D,D Coote,15,17,5,5,11,18,3,7,1,3,0,0,1.62,4.25,5,1.67,4.15,4.65,,,
E0,20-04-2019,Huddersfield,Watford,1,2,A,0,1,A,R East,13,11,3,6,15,9,2,2,2,2,0,0,4.4,3.75,1.8,4.2,3.65,1.85,,,
E0,20-04-2019,Man City,Tottenham,1,0,H,1,0,H,M Oliver,15,10,4,4,11,11,4,4,1,2,0,0,1.28,6,10,1.3,5.5,9.6,,,
E0,20-04-2019,Newcastle,Southampton,3,1,H,2,0,H,A Taylor,15,15,6,3,5,11,4,11,0,2,0,0,2.45,3.1,3.1,2.45,3.1,3.15,,,
E0,20-04-2019,West Ham,Leicester,2,2,D,1,0,H,L Probert,11,11,3,5,8,9,6,8,2,0,0,0,3.1,3.4,2.3,3.1,3.4,2.3,,,
E0,20-04-2019,Wolves,Brighton,0,0,D,0,0,D,C Pawson,22,5,5,0,0,8,14,1,0,1,0,0,1.72,3.5,5.5,1.77,3.45,5.2,,,
E0,21-04-2019,Arsenal,Crystal Palace,2,3,A,0,1,A,J Moss,12,16,5,7,15,12,8,3,4,1,0,0,1.53,4.5,5.75,1.45,4.4,7.2,,,
E0,21-04-2019,Cardiff,Liverpool,0,2,A,0,0,D,M Atkinson,7,17,2,6,6,5,5,10,1,1,0,0,16.5,6.25,1.2,13,7,1.2,,,
